Underlying,FixedRate,TradeId,Counterparty,Quantity,TradeType
90VV4,0.38,2101,"Watsica, Bergnaum and Heidenreich",114863.43,IRSwap
XZSXI,0.33,2102,Schowalter Group,816521.54,IRSwap
BKG1N,0.33,2103,Durgan - Bailey,248362.34,IRSwap
H6KYX,0.39,2104,Homenick and Sons,852047.49,IRSwap
SCW3Y,0.68,2105,Watsica and Sons,192732.76,IRSwap
Q13SO,0.54,2106,"Schimmel, Schumm and Wiza",434710.37,IRSwap
IYCRF,0.83,2107,"Frami, Schaefer and Hackett",637474.72,IRSwap
XTGYN,0.35,2108,Conn Inc,543825.07,IRSwap
KBFR5,0.46,2109,Williamson LLC,274747.30,IRSwap
OHV5U,0.96,2110,Flatley Group,267447.17,IRSwap
ORWS7,0.63,2111,"Dickens, Gleason and Stokes",790298.36,IRSwap
5127J,0.59,2112,"Bartell, Dickens and Runolfsdottir",284702.82,IRSwap
AXUFY,0.32,2113,Wilkinson - Parisian,762666.74,IRSwap
OSHVJ,0.53,2114,Prosacco LLC,899824.10,IRSwap
NIECU,0.07,2115,"Watsica, Sipes and Gutkowski",211193.11,IRSwap
B60ET,0.04,2116,Kautzer - Davis,572204.73,IRSwap
BLVLC,0.55,2117,Gerhold - Hackett,727710.26,IRSwap
O4DJM,0.44,2118,O'Hara Inc,643380.14,IRSwap
HAEBD,0.61,2119,Bernier - Boyle,254230.12,IRSwap
KOIKV,0.05,2120,Kunde - Rice,490204.10,IRSwap
VZFJW,0.19,2121,Schultz - Zieme,300966.16,IRSwap
B5181,0.21,2122,"Kreiger, Rosenbaum and Hodkiewicz",586494.80,IRSwap
PXI20,0.60,2123,Durgan - Rohan,92756.50,IRSwap
2SDIU,0.87,2124,"Orn, McClure and Schmidt",635964.40,IRSwap
QCW9I,0.47,2125,Dickinson - Schneider,980659.31,IRSwap
L8762,0.91,2126,Smith - Stamm,104778.39,IRSwap
T6KY8,0.36,2127,Tillman - McKenzie,997203.91,IRSwap
0Y4YK,0.61,2128,"Reichel, Dickinson and Hayes",97638.11,IRSwap
QP1TL,0.19,2129,"Kuhn, Christiansen and Konopelski",831777.80,IRSwap
LT6KS,0.95,2130,Welch - Jakubowski,555516.00,IRSwap
NI0LA,0.10,2131,Crist Group,618140.49,IRSwap
EGJZG,0.88,2132,Kutch and Sons,645778.01,IRSwap
8XJE5,0.94,2133,"Jast, Rutherford and Kuhlman",264690.27,IRSwap
CCU68,0.69,2134,Sauer - O'Kon,790378.30,IRSwap
YNR55,0.28,2135,Ledner - Kunde,970513.48,IRSwap
MDACE,0.57,2136,Brekke Group,32967.87,IRSwap
TPNU2,0.12,2137,Davis - Crooks,156060.22,IRSwap
VAIBL,0.18,2138,"Schaefer, Erdman and Dietrich",481064.31,IRSwap
AVM6Y,0.04,2139,Gleason - Stoltenberg,745643.85,IRSwap
9DC58,1.00,2140,Schmeler - O'Kon,222760.40,IRSwap
WPJQ3,0.79,2141,"Brakus, Balistreri and Mertz",407934.87,IRSwap
WAEIT,0.02,2142,Schaden and Sons,85183.79,IRSwap
KZ7IX,0.36,2143,"Breitenberg, Bode and Dibbert",987946.94,IRSwap
89CE6,0.07,2144,Monahan and Sons,276847.88,IRSwap
094C2,0.93,2145,Stark - Funk,450788.99,IRSwap
ZYEFB,0.73,2146,Jakubowski - Wiza,222513.31,IRSwap
Z64TO,0.03,2147,DuBuque Inc,423888.64,IRSwap
89TQZ,0.30,2148,Bruen LLC,952070.70,IRSwap
OM1AA,0.86,2149,"Thiel, Kohler and Auer",725817.74,IRSwap
OTHU5,0.33,2150,"Blick, Koelpin and Robel",240184.29,IRSwap
0ZQ4O,0.45,2151,"Barrows, Stehr and Ledner",758760.93,IRSwap
5PAJ2,0.53,2152,Toy and Sons,741330.45,IRSwap
67ZK0,0.26,2153,D'Amore - Crist,36782.97,IRSwap
F57WM,0.07,2154,Corkery LLC,208931.01,IRSwap
1KAHJ,0.13,2155,Dare - Dibbert,471480.63,IRSwap
AUPHK,0.81,2156,Gutmann Inc,800985.93,IRSwap
VD8BZ,0.49,2157,"Daugherty, Carroll and Jerde",313351.87,IRSwap
7ZOZM,0.92,2158,Walker - Zulauf,989367.25,IRSwap
T2PXK,0.46,2159,Anderson - Strosin,84911.43,IRSwap
2R556,0.05,2160,"Hauck, Schneider and Bins",361220.28,IRSwap
D3T2V,0.02,2161,Marquardt LLC,775958.04,IRSwap
58BHT,0.68,2162,Wilkinson - Towne,495635.15,IRSwap
24XM5,0.21,2163,Reilly LLC,778000.38,IRSwap
AF8BG,0.98,2164,Smith - Kertzmann,876448.54,IRSwap
DWK7T,0.44,2165,"Spencer, Rath and Kirlin",224563.82,IRSwap
2UP95,0.18,2166,"Hartmann, Kuvalis and Reilly",468424.07,IRSwap
06Q00,0.03,2167,"O'Kon, Kuhn and O'Kon",517943.41,IRSwap
JO7CF,0.33,2168,"Schaefer, Kshlerin and Ankunding",65745.90,IRSwap
UDDL6,0.82,2169,"Stark, Labadie and Watsica",152279.14,IRSwap
VWDGS,0.42,2170,"Ullrich, Becker and Williamson",569023.72,IRSwap
GZA12,0.81,2171,Kub - Rau,243615.15,IRSwap
LUCCM,0.43,2172,"Mitchell, Torphy and Nikolaus",150512.26,IRSwap
3ZTAY,0.96,2173,"Bartoletti, Blick and Mayer",958484.44,IRSwap
7WDD2,0.56,2174,Hegmann - Ebert,21688.68,IRSwap
6BFA1,0.03,2175,Abernathy Group,302240.98,IRSwap
GNOHV,0.32,2176,Cummerata Group,789631.86,IRSwap
2JF4D,0.95,2177,Runolfsdottir Group,787467.92,IRSwap
149SS,0.57,2178,"Williamson, MacGyver and Strosin",727729.49,IRSwap
DCFKK,0.24,2179,Gaylord - Watsica,839713.85,IRSwap
568MW,0.29,2180,"Kuvalis, Romaguera and Hartmann",358209.05,IRSwap
42FIE,0.71,2181,"Bosco, Beatty and Cummerata",603467.23,IRSwap
XYP60,0.56,2182,Romaguera LLC,510117.54,IRSwap
JDVY1,0.17,2183,"Rath, Botsford and Klocko",807960.37,IRSwap
OR8C5,0.06,2184,"Gorczany, Mraz and Crooks",884062.99,IRSwap
U88JF,0.88,2185,"Daugherty, Jaskolski and Abbott",643399.35,IRSwap
SLOJK,0.35,2186,"Casper, Homenick and Wilkinson",708964.28,IRSwap
C19XY,0.65,2187,Dietrich - Kreiger,69426.87,IRSwap
1TWIN,0.72,2188,Reynolds - Stracke,916696.72,IRSwap
HSXYY,0.64,2189,Rice - Aufderhar,544348.29,IRSwap
7IKH7,0.95,2190,"Monahan, Kris and Kunde",639597.37,IRSwap
EI1NZ,0.70,2191,Kohler - Feeney,325409.13,IRSwap
S6XKK,0.10,2192,Tremblay Group,839165.40,IRSwap
S9D9U,0.28,2193,Witting and Sons,981916.97,IRSwap
X9S73,0.26,2194,Bahringer and Sons,770307.82,IRSwap
PMNU1,0.59,2195,"Hackett, Wuckert and Weimann",496055.18,IRSwap
M49J4,0.15,2196,Waters Inc,642935.95,IRSwap
G3WJD,0.71,2197,"Schuppe, Purdy and Hirthe",149460.18,IRSwap
ZEH2M,0.71,2198,Haag - Emard,1082.52,IRSwap
3C4B4,0.54,2199,Schneider - Powlowski,318478.91,IRSwap
9KC9J,0.74,2200,"Wisoky, Bruen and Champlin",488315.07,IRSwap
MVNMQ,0.76,2201,Oberbrunner Group,533172.46,IRSwap
00223,0.96,2202,Langosh - Kerluke,319275.22,IRSwap
I63IP,0.83,2203,Jacobi - Stark,24686.44,IRSwap
55TSG,0.47,2204,Schulist Inc,974340.76,IRSwap
8GOTH,0.27,2205,Parker - Jacobi,772909.30,IRSwap
4WSU1,0.43,2206,Grant - Cummerata,580667.92,IRSwap
MFG6U,0.19,2207,"Christiansen, Vandervort and Vandervort",625088.46,IRSwap
XZ2S1,0.51,2208,Metz LLC,472545.92,IRSwap
UNIU8,0.36,2209,Batz and Sons,322353.56,IRSwap
RH5L1,0.22,2210,"Romaguera, Barrows and Ortiz",356332.47,IRSwap
OJ37W,0.72,2211,Mraz - Bins,234881.09,IRSwap
3GLRZ,0.91,2212,Yost Group,520939.72,IRSwap
IKY45,0.51,2213,Weber - Kulas,228614.68,IRSwap
FD354,0.40,2214,"Denesik, Adams and Greenfelder",642807.41,IRSwap
R359B,0.90,2215,Hauck - Oberbrunner,898518.06,IRSwap
P4UP4,0.56,2216,Moore - Champlin,603855.45,IRSwap
ZMVO3,0.50,2217,"Beahan, Huels and Schaefer",882362.36,IRSwap
LUBRG,0.82,2218,Swift - Lang,981229.08,IRSwap
VOYAJ,0.37,2219,"Stanton, Moen and Luettgen",573087.82,IRSwap
XU0SG,0.27,2220,Lubowitz and Sons,587645.54,IRSwap
QMM3A,0.51,2221,Fahey - Jakubowski,766044.99,IRSwap
S8B3Y,0.93,2222,"O'Keefe, Rogahn and Connelly",200317.34,IRSwap
B3ENZ,0.31,2223,Lubowitz - Champlin,566854.02,IRSwap
7SU92,0.84,2224,"Ziemann, Lockman and Gerlach",623627.63,IRSwap
S9D5M,0.71,2225,Aufderhar and Sons,387296.81,IRSwap
97EI8,0.45,2226,"Lebsack, Hauck and Ebert",674811.52,IRSwap
7VKLF,0.47,2227,Dooley Inc,660123.93,IRSwap
Q6IT0,0.50,2228,"Torp, Borer and Hintz",529757.28,IRSwap
71YXL,0.42,2229,Mohr - Glover,473613.38,IRSwap
EQLDT,0.56,2230,"Skiles, Hyatt and Ratke",820607.45,IRSwap
8U5J0,0.90,2231,Feest Group,636934.59,IRSwap
Q6ZUM,0.66,2232,"Fadel, Welch and Wehner",592717.52,IRSwap
NPBGW,0.44,2233,"Becker, Brakus and Beatty",692284.68,IRSwap
FUY7S,0.37,2234,Weimann Inc,373778.12,IRSwap
GR8NJ,0.61,2235,Ledner - Baumbach,611744.60,IRSwap
6QLJ6,0.44,2236,Deckow - Treutel,331564.20,IRSwap
00R7B,0.35,2237,Mante Group,251627.93,IRSwap
AJ2F8,0.89,2238,Mraz Group,289879.15,IRSwap
V01U6,0.67,2239,O'Reilly - Veum,305011.85,IRSwap
50JSL,0.45,2240,Jaskolski Inc,367857.48,IRSwap
KXCL1,0.65,2241,Altenwerth and Sons,190830.54,IRSwap
KNOD0,0.96,2242,"Corkery, Halvorson and Green",954744.49,IRSwap
LG5AZ,0.27,2243,"Balistreri, O'Conner and Bradtke",621944.57,IRSwap
PQYNF,0.79,2244,"Schamberger, Swaniawski and Kozey",321996.14,IRSwap
QELCV,0.43,2245,Wolff - Brakus,91368.36,IRSwap
O3YCW,0.47,2246,Kuhlman - Botsford,983342.56,IRSwap
FH8XY,0.41,2247,"O'Reilly, Jones and Greenholt",525539.18,IRSwap
OZJU1,0.55,2248,Lehner - Cassin,483613.29,IRSwap
SHMMR,0.61,2249,"Carter, Smitham and Graham",304267.11,IRSwap
TKBXC,0.41,2250,"Wintheiser, Balistreri and Terry",556476.07,IRSwap
H03FI,0.86,2251,"Bahringer, Ebert and Will",967961.71,IRSwap
7MZLA,0.19,2252,"Smith, Lockman and McCullough",9681.53,IRSwap
46YI4,0.19,2253,"Monahan, Maggio and Bradtke",606874.30,IRSwap
CTZLJ,0.33,2254,Doyle - Schumm,74863.17,IRSwap
BZSCO,0.94,2255,Toy Inc,190370.42,IRSwap
EVWWW,0.46,2256,"Brekke, Reilly and Fahey",600115.51,IRSwap
CRXVT,0.00,2257,Rogahn LLC,316307.62,IRSwap
PIW95,0.39,2258,Runte Group,700750.49,IRSwap
EHLHY,0.94,2259,Schulist - Dare,449726.12,IRSwap
35BVZ,0.21,2260,Prohaska LLC,869367.01,IRSwap
CVIVV,0.96,2261,"Kovacek, Streich and Watsica",744222.29,IRSwap
6K9WV,0.18,2262,Runolfsdottir - Larkin,844136.79,IRSwap
A4ZLK,0.20,2263,Walker - Torp,908248.20,IRSwap
5Y8P2,0.61,2264,Green Group,525706.63,IRSwap
HX40W,0.57,2265,McLaughlin Inc,983203.60,IRSwap
EJZ0F,0.20,2266,Wisozk Inc,30002.25,IRSwap
BTZO8,0.33,2267,"Volkman, Hahn and Pagac",924255.89,IRSwap
VUWFD,0.02,2268,Smith - Funk,109487.72,IRSwap
5W4LY,0.22,2269,"Rau, Zieme and Crist",66807.68,IRSwap
AE253,0.13,2270,Stracke LLC,152878.07,IRSwap
4VXJP,0.08,2271,O'Connell Inc,473387.33,IRSwap
7BIU5,0.92,2272,Block - Denesik,921424.93,IRSwap
YIYLG,0.84,2273,"Borer, Graham and Brekke",309011.17,IRSwap
2ROXA,0.99,2274,Gerhold Group,629492.88,IRSwap
6OTYY,0.88,2275,Turcotte - Torp,622779.92,IRSwap
8D455,0.35,2276,Yundt Inc,259996.69,IRSwap
TAA4K,0.84,2277,"White, Gaylord and Ferry",320275.11,IRSwap
EH4AP,0.00,2278,"Swaniawski, Wehner and Grady",187881.45,IRSwap
2MDPM,0.52,2279,Mante - Nitzsche,287002.79,IRSwap
NACDI,0.82,2280,"Welch, Bahringer and Nienow",647160.61,IRSwap
8Z1YN,0.04,2281,Batz - Gottlieb,116703.20,IRSwap
L1RNW,0.43,2282,"Murphy, Willms and Hansen",687794.65,IRSwap
NJR6R,0.91,2283,"Hammes, Cormier and Ward",915710.98,IRSwap
D6TNC,0.74,2284,Davis Inc,527708.54,IRSwap
BY19L,0.72,2285,"Kshlerin, Ullrich and Haley",60687.45,IRSwap
46BCI,0.21,2286,Huel - Kirlin,718402.94,IRSwap
S358V,0.93,2287,Gleichner - Willms,425337.24,IRSwap
U8MUB,0.58,2288,Marks LLC,991467.73,IRSwap
SRT8Z,0.49,2289,"Volkman, Cruickshank and Deckow",593933.83,IRSwap
7XWA7,0.80,2290,Schuster LLC,492935.12,IRSwap
PGVVK,0.48,2291,"Jaskolski, Parisian and Rau",39877.73,IRSwap
3RTZC,0.35,2292,Waters LLC,553340.04,IRSwap
Q5HMA,0.73,2293,Thompson and Sons,688996.38,IRSwap
IHGJ3,0.31,2294,Cassin - Sauer,893947.58,IRSwap
V0X45,0.06,2295,"Heller, Jast and Auer",316538.88,IRSwap
I80AJ,0.96,2296,Swaniawski and Sons,810842.24,IRSwap
V5L1M,0.31,2297,McDermott Group,902071.52,IRSwap
NGEDU,0.14,2298,Turner Inc,419697.19,IRSwap
A9C2Z,0.24,2299,Larkin - Collier,667880.47,IRSwap
ORK4F,0.74,2300,Gislason - Lowe,353309.34,IRSwap
SDU15,0.05,2301,Tremblay - Kulas,857528.45,IRSwap
QG6MM,0.82,2302,"O'Keefe, Keebler and Jacobs",400525.86,IRSwap
0COQV,0.91,2303,Berge - Hoppe,866173.23,IRSwap
N09VW,0.40,2304,Watsica Inc,724137.76,IRSwap
SU5YX,0.31,2305,Walsh Group,404540.38,IRSwap
VT3ZR,0.03,2306,Kuphal - Schultz,922569.67,IRSwap
JPBOQ,0.71,2307,Green and Sons,143204.79,IRSwap
IL4Z2,0.18,2308,Greenholt LLC,220309.71,IRSwap
JS47U,0.83,2309,Rau Group,572973.85,IRSwap
0NSV2,0.53,2310,"Graham, Carter and Strosin",223681.07,IRSwap
3SLEA,0.70,2311,Emmerich - Farrell,141473.63,IRSwap
GHPMQ,0.60,2312,Volkman LLC,820265.01,IRSwap
V6UZH,0.95,2313,Spencer Group,798133.41,IRSwap
QHKFF,0.02,2314,Breitenberg - Adams,649557.23,IRSwap
SDJ1R,0.53,2315,Schamberger - Lubowitz,135057.28,IRSwap
MBF9W,0.93,2316,"D'Amore, Considine and Koss",421576.76,IRSwap
0WX2Y,0.92,2317,Von - Hayes,348889.17,IRSwap
BAR0I,0.64,2318,Dach LLC,75385.58,IRSwap
YJ836,0.14,2319,"Ferry, Wisoky and Zboncak",176400.10,IRSwap
V7SRG,0.59,2320,Legros Inc,927605.95,IRSwap
FE3CJ,0.42,2321,"Schimmel, Monahan and Pollich",2279.31,IRSwap
C62DP,0.97,2322,"Goodwin, Cole and Hessel",949006.53,IRSwap
5G2Z8,0.05,2323,"Sanford, Bogisich and Nolan",611281.85,IRSwap
A6I54,0.77,2324,Sipes and Sons,357604.54,IRSwap
YKXVM,0.70,2325,Reichert - Kihn,252410.16,IRSwap
ULCT8,0.66,2326,Thompson Group,15424.07,IRSwap
8AXL1,1.00,2327,Maggio Inc,683303.19,IRSwap
41NEN,0.58,2328,Ernser - McGlynn,208913.44,IRSwap
Y6UFI,0.70,2329,Effertz - Hills,543693.25,IRSwap
2JR0N,0.65,2330,"Pfeffer, Tromp and Koss",500465.26,IRSwap
VASVS,0.96,2331,Schultz LLC,158926.58,IRSwap
6MQ2G,0.49,2332,"Davis, O'Reilly and Collier",53193.04,IRSwap
B4P2I,0.89,2333,Hermann Inc,854502.80,IRSwap
ERD2V,0.05,2334,Yundt - Waters,191043.28,IRSwap
I8CGV,0.92,2335,Roberts - Rippin,847930.73,IRSwap
9GFAJ,0.17,2336,Witting Inc,160305.05,IRSwap
L6QXN,0.44,2337,Schumm and Sons,72758.08,IRSwap
XBMCC,0.09,2338,O'Connell Inc,408122.11,IRSwap
ESRXX,0.32,2339,"Gibson, Dare and McCullough",854621.85,IRSwap
QGN8B,0.50,2340,Leffler LLC,978215.52,IRSwap
DSS7X,0.84,2341,Schiller - Kihn,676344.52,IRSwap
TNP77,0.40,2342,Williamson and Sons,389100.96,IRSwap
4HF7U,0.95,2343,"Armstrong, Reichel and Carter",164090.62,IRSwap
GQWGL,1.00,2344,Balistreri LLC,395151.95,IRSwap
42B53,0.77,2345,Yundt - Bosco,223657.83,IRSwap
D2BI9,0.31,2346,Bartoletti - VonRueden,534366.50,IRSwap
0XVZC,0.90,2347,Armstrong - Block,891759.59,IRSwap
1MW12,0.17,2348,"Rogahn, Monahan and Jacobs",415940.72,IRSwap
2310E,0.41,2349,Brekke Inc,506699.27,IRSwap
JW776,0.18,2350,Ebert - Grant,638878.13,IRSwap
PFI4C,0.44,2351,Schuppe Inc,979839.68,IRSwap
3WZDY,0.82,2352,Kovacek - Dooley,147973.71,IRSwap
JBRV4,0.43,2353,"Wiza, West and Kulas",396174.26,IRSwap
X3TML,0.94,2354,"Stehr, Thiel and Stamm",447745.82,IRSwap
5JMXT,0.27,2355,"Williamson, Yundt and Walker",10412.48,IRSwap
PL53R,0.24,2356,Herzog - Hegmann,873166.18,IRSwap
BANZV,0.58,2357,Anderson LLC,617839.11,IRSwap
ZIHI6,0.22,2358,Fay Group,296374.18,IRSwap
HIIK7,0.53,2359,Doyle LLC,412222.56,IRSwap
GY8BO,0.84,2360,Lesch - Smitham,700323.65,IRSwap
5G1V7,0.11,2361,"Nienow, Batz and Feil",952330.38,IRSwap
0EC4S,0.80,2362,VonRueden - Lind,978030.65,IRSwap
SE6U1,0.26,2363,Rutherford and Sons,933561.76,IRSwap
M5DGC,0.05,2364,Smith and Sons,320114.25,IRSwap
0MAQF,0.55,2365,Pfeffer - Aufderhar,415301.92,IRSwap
VOA6R,0.28,2366,"D'Amore, Towne and Batz",825334.00,IRSwap
SK7CU,0.01,2367,Stamm Group,944699.12,IRSwap
RXX53,0.47,2368,"Schiller, Rolfson and Heidenreich",383654.51,IRSwap
YBHRH,0.08,2369,Kuhlman - Herman,995161.54,IRSwap
U2G71,0.08,2370,Medhurst Group,245434.49,IRSwap
D4OF4,0.75,2371,Mayer - Lind,34999.81,IRSwap
SCLYU,0.27,2372,Abshire - Olson,817945.22,IRSwap
7Z3JO,0.47,2373,"Mills, Hodkiewicz and Wehner",584452.72,IRSwap
YBMTM,0.05,2374,"Casper, Abshire and Bradtke",836340.82,IRSwap
XYGHH,0.52,2375,Renner - Prohaska,284602.00,IRSwap
7LG65,0.59,2376,Ryan - Hettinger,762958.93,IRSwap
NPYE9,0.33,2377,"Kiehn, Goyette and Okuneva",881562.23,IRSwap
N8A91,0.65,2378,O'Hara LLC,957702.60,IRSwap
CNCNC,0.87,2379,Daniel Group,361829.35,IRSwap
7G1E9,0.23,2380,Olson - Barrows,152348.59,IRSwap
B4OSJ,0.36,2381,Bins - Fay,186798.38,IRSwap
U9CAJ,0.01,2382,Veum Inc,934699.46,IRSwap
WDMIR,0.20,2383,Hamill - Beier,400532.01,IRSwap
5ZXR1,0.22,2384,Treutel Group,808273.99,IRSwap
IJ3BX,0.11,2385,"Lemke, Borer and Yost",716317.21,IRSwap
0TAXI,0.18,2386,"Strosin, Gibson and Stark",174390.70,IRSwap
XARUB,0.58,2387,Heller Inc,253785.42,IRSwap
82ODT,0.53,2388,Hagenes Inc,846921.83,IRSwap
0QYZY,0.11,2389,Schumm Inc,453217.10,IRSwap
HQTGL,0.24,2390,Brown - Reilly,775543.62,IRSwap
HK70Y,0.94,2391,Kirlin LLC,538213.94,IRSwap
Y89P8,0.19,2392,Upton Inc,971375.06,IRSwap
34LAD,0.49,2393,Schiller - Towne,208302.92,IRSwap
7R7JY,0.47,2394,Ernser Group,587276.73,IRSwap
YK0RT,0.25,2395,Wilderman - Batz,30089.43,IRSwap
WIKEF,0.35,2396,Brekke - Feil,416382.39,IRSwap
X4IR7,0.03,2397,"Vandervort, Nikolaus and Klocko",687901.96,IRSwap
RU8J4,0.83,2398,"Rolfson, Rowe and O'Conner",393249.54,IRSwap
ZCOO7,0.80,2399,Carroll - Armstrong,143107.24,IRSwap
BLC1F,0.49,2400,Moen and Sons,626575.84,IRSwap
HRIRP,0.17,2401,"Mills, Erdman and Roob",357106.55,IRSwap
FJXRT,0.08,2402,"Fahey, Considine and Keeling",521548.90,IRSwap
9026I,0.19,2403,Feeney LLC,145688.66,IRSwap
W9SIL,0.18,2404,Nicolas Group,877955.94,IRSwap
C7S5S,0.11,2405,"Kuvalis, Murray and Emard",382164.63,IRSwap
Z577Q,0.43,2406,Orn - Volkman,594149.29,IRSwap
LAJM6,0.76,2407,Davis - Wiza,792686.61,IRSwap
ILERX,0.83,2408,Dare - Nolan,169488.41,IRSwap
FYXAW,0.11,2409,Aufderhar LLC,85593.60,IRSwap
ABNFS,0.04,2410,Gusikowski - Stanton,757194.17,IRSwap
OH0Q3,0.39,2411,Dach - Wisozk,38498.73,IRSwap
LGVCM,0.38,2412,"King, Grant and Von",140918.85,IRSwap
4BVV6,0.94,2413,Rath Inc,184411.24,IRSwap
1OEYX,0.18,2414,"Wisozk, Thompson and Denesik",115587.30,IRSwap
0XMPU,0.77,2415,Leffler and Sons,126688.92,IRSwap
GWUJ5,0.14,2416,Daniel LLC,374148.40,IRSwap
EQ0JS,0.48,2417,"Ullrich, Kilback and Schaefer",478112.69,IRSwap
6P24E,0.27,2418,Padberg - Douglas,74277.36,IRSwap
S7TN5,0.83,2419,Hand Inc,899467.79,IRSwap
2KNL7,0.59,2420,"Schinner, Schoen and Gutmann",289680.12,IRSwap
HGA97,0.80,2421,Boehm and Sons,672974.60,IRSwap
K9VO6,0.92,2422,Runolfsdottir - Strosin,715792.04,IRSwap
LVWS3,0.14,2423,Huel - Wiegand,619043.74,IRSwap
Z8V8A,0.76,2424,Lang - Dickinson,678424.18,IRSwap
F1XLP,0.81,2425,Hoppe - White,31950.50,IRSwap
S4O2M,0.56,2426,"Wisoky, Kassulke and Gottlieb",222338.81,IRSwap
XK6QC,0.39,2427,Cummerata - Beer,387219.10,IRSwap
ZFX6K,0.93,2428,Hoppe - Johnston,412776.50,IRSwap
F3XG7,0.11,2429,Blick and Sons,456004.64,IRSwap
Z7WNI,0.46,2430,Crist LLC,204886.77,IRSwap
K0V8C,0.22,2431,"Stokes, Hickle and Jones",21829.75,IRSwap
FVLYU,0.65,2432,Kuphal - Powlowski,248364.96,IRSwap
P7FRJ,0.27,2433,"Ledner, Feil and Daniel",504754.03,IRSwap
